Student ID, Course Alloted
EP15B001,MA2040
EP15B002,MA2010
EP15B003,MA2010
EP15B004,MA2040
EP15B005,MA2040
EP15B006,MA2040
EP15B007,MA2040
EP15B008,MA2040
EP15B009,MA2040
EP15B010,MA2040
EP15B011,MA2040
EP15B012,MA2040
EP15B013,MA2031
EP15B014,MA2040
EP15B015,MA2040
EP15B016,MA2040
EP15B017,MA2040
EP15B018,MA2020
EP15B019,MA2040
EP15B020,MA2010
EP15B021,MA2010
EP15B023,MA2020
EP15B024,MA2040
EP15B025,MA2040
EP15B026,MA2040
EP15B027,MA2040
EP15B028,MA2010
EP15B030,MA2040
EP15B031,MA2040
MM15B001,MA2020
MM15B002,MA2020
MM15B004,PH2170
MM15B005,PH2170
MM15B006,MA2020
MM15B008,MA2020
MM15B009,MA2040
MM15B010,MA2020
MM15B011,MA2020
MM15B012,MA2020
MM15B013,MA2020
MM15B014,MA2020
MM15B015,MA2020
MM15B017,MA2020
MM15B018,MA2130
MM15B019,MA2020
MM15B020,MA2020
MM15B021,MA2020
MM15B022,MA2020
MM15B023,MA2020
MM15B024,MA2020
MM15B025,MA2020
MM15B026,MA2020
MM15B029,MA2020
MM15B030,PH2170
MM15B031,MA2020
MM15B032,MA2040
MM15B034,MA2020
MM15B035,MA2020
MM15B036,MA2020
MM15B039,MA2020
MM15B040,MA2020
MM15B041,MA2020
MM15B043,MA2020
MM15B044,MA2020
MM15B046,MA2020
MM15B047,MA2020
MM15B048,MA2020
NA15B001,MA2040
NA15B002,MA2020
NA15B003,MA2020
NA15B004,MA2020
NA15B005,MA2020
NA15B006,MA2020
NA15B007,MA2040
NA15B008,MA2040
NA15B010,MA2040
NA15B011,MA2020
NA15B012,MA2031
NA15B013,MA2020
NA15B014,MA2020
NA15B016,MA2020
NA15B017,MA2020
NA15B018,MA2020
NA15B019,MA2040
NA15B020,MA2020
NA15B022,MA2020
NA15B023,MA2020
NA15B024,MA2130
NA15B025,MA2020
NA15B028,MA2020
NA15B029,MA2040
NA15B030,MA2040
NA15B031,MA2040
NA15B032,MA2031
NA15B033,MA2020
NA15B034,MA2020
NA15B036,MA2020
NA15B039,MA2020
NA15B041,MA2020
NA15B042,MA2020
NA15B043,MA2031
NA15B044,MA2020
NA15B046,MA2020
NA15B047,MA2020
NA15B048,MA2031
NA15B049,MA2040
PH15B001,MA2020
PH15B005,MA2020
PH15B006,MA2020
PH15B007,MA2020
PH15B008,MA2020
PH15B009,MA2020
CE15B001,BT2030
CE15B002,BT2030
CE15B004,PH2170
CE15B006,BT2010
CE15B007,EE2025
CE15B008,PH2170
CE15B009,EE2025
CE15B010,BT2012
CE15B011,PH2170
CE15B012,BT2010
CE15B013,PH2170
CE15B015,EE2025
CE15B018,PH3500
CE15B019,BT2012
CE15B022,PH2170
CE15B023,BT2012
CE15B024,EE2025
CE15B026,EE2025
CE15B028,PH2170
CE15B029,PH3500
CE15B030,EE2025
CE15B031,EE2025
CE15B032,EE2025
CE15B033,PH2170
CE15B034,BT2010
CE15B035,EE2025
CE15B036,BT2030
CE15B038,BT2012
CE15B040,BT2010
CE15B041,EE2025
CE15B042,PH2170
CE15B044,BT2012
CE15B045,OE4340
CE15B047,BT2030
CE15B048,PH3500
CE15B049,PH2170
CE15B051,EE2025
CE15B052,BT2012
CE15B053,EE2025
CE15B055,PH2170
CE15B056,CE3242
CE15B057,BT2030
CE15B058,BT2010
CE15B059,BT2030
CE15B060,PH2170
CE15B062,PH2170
CE15B063,BT2030
CE15B064,EE4371
