Rollno,CGPA,Max Credits
EE16B101,4.67,63
EE16B102,8.6,63
EE16B103,7.38,63
EE16B104,8.4,63
EE16B105,8.85,63
EE16B106,8.69,63
EE16B107,9.05,63
EE16B108,8.07,63
EE16B109,9.14,63
EE16B110,9.94,63
EE16B111,6.78,63
EE16B112,7.72,63
EE16B113,4.07,63
EE16B114,7.38,63
EE16B115,5.53,63
EE16B116,8.09,63
EE16B117,8.73,63
EE16B118,7.44,63
EE16B120,8.84,63
EE16B121,8.95,63
EE16B122,6.28,63
EE16B123,6.94,63
EE16B124,8.66,63
EE16B125,8.56,63
EE16B126,6.92,63
EE16B127,9,63
EE16B128,6.92,63
EE16B129,9.43,63
EE16B130,6.81,63
EE16B131,3.12,63
EE16B132,8.94,63
EE16B133,8.76,63
EE16B134,9.13,63
EE16B135,3.04,63
EE16B136,6.38,63
EE16B137,9.68,63
EE16B138,6.12,63
EE16B139,2.12,63
EE16B140,8.98,63
EE16B141,8.81,63
EE16B142,7.82,63
EE16B143,9.6,63
EE16B144,9.4,63
EE16B145,8.03,63
EE16B146,8.35,63
EE16B147,7.81,63
EE16B148,7.15,63
EE16B149,7.95,63
EE16B150,8.96,63
EE16B151,7.93,63
EE16B152,7.97,63
EE16B153,9.1,63
EE16B154,8.7,63
EE16B155,0.25,63
EE16B156,8.79,63
EE16B157,9.28,63
EE16B158,8.26,63
EE16B159,8.95,63
EE16B160,8.85,63
EP15B001,8.23,63
EP15B002,6.14,63
EP15B003,5.56,63
EP15B004,8.26,63
EP15B005,6.33,63
EP15B006,3.93,63
EP15B007,8.44,63
EP15B008,7.44,63
EP15B009,8.48,63
EP15B010,9.38,72
EP15B011,6.49,63
EP15B012,8.12,63
EP15B013,5.13,63
EP15B014,8.89,63
EP15B015,8.18,63
EP15B016,6.72,63
EP15B017,8.25,63
EP15B018,6.09,63
EP15B019,7.61,63
EP15B020,9.86,63
EP15B021,3.87,63
EP15B022,2.15,63
EP15B023,8.39,63
EP15B024,7.72,63
EP15B025,6.09,63
EP15B026,7.69,63
EP15B027,8.1,63
EP15B028,6.87,63
EP15B029,9.64,63
EP15B030,7.55,63
EP15B031,8.73,63
EP16B001,6.6,63
EP16B002,7.72,63
EP16B003,7.36,63
EP16B004,8.24,63
EP16B005,8.6,63
